"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"306",1999,"January","Fall",2138,4264.066667,-1700,-0.183860389325895,-0.454283694323945,0.18454064869541
"307",1999,"January","LateFall",36,4264.066667,-1700,-0.183860389325895,-0.454283694323945,0.18454064869541
"308",1999,"January","Spring",0,4264.066667,-1700,-0.183860389325895,-0.454283694323945,0.18454064869541
"317",1999,"March","Fall",7462,7209.555831,-1865.677419,0.817073654991433,-0.488933960108455,1.40564476398408
"318",1999,"March","Winter",1108,7209.555831,-1865.677419,0.817073654991433,-0.488933960108455,1.40564476398408
"319",1999,"March","LateFall",0,7209.555831,-1865.677419,0.817073654991433,-0.488933960108455,1.40564476398408
"320",1999,"March","Spring",3177,7209.555831,-1865.677419,0.817073654991433,-0.488933960108455,1.40564476398408
"321",1999,"May","Fall",48550,3193.142857,-1062.387097,-0.54778096095799,-0.32093144457298,-0.558842560901458
"322",1999,"May","Winter",0,3193.142857,-1062.387097,-0.54778096095799,-0.32093144457298,-0.558842560901458
"323",1999,"May","Spring",12086,3193.142857,-1062.387097,-0.54778096095799,-0.32093144457298,-0.558842560901458
"324",1999,"May","LateFall",0,3193.142857,-1062.387097,-0.54778096095799,-0.32093144457298,-0.558842560901458
"365",2000,"March","LateFall",0,8959.354839,-2140.225806,1.41168911622824,-0.546353822378633,1.52581130499657
"366",2000,"March","Fall",6990,8959.354839,-2140.225806,1.41168911622824,-0.546353822378633,1.52581130499657
"367",2000,"March","Winter",590,8959.354839,-2140.225806,1.41168911622824,-0.546353822378633,1.52581130499657
"368",2000,"March","Spring",3082,8959.354839,-2140.225806,1.41168911622824,-0.546353822378633,1.52581130499657
"369",2000,"May","LateFall",0,2823.774194,-2210.177419,-0.673299558758091,-0.560983709765431,-0.446333691620157
"370",2000,"May","Spring",2156,2823.774194,-2210.177419,-0.673299558758091,-0.560983709765431,-0.446333691620157
"371",2000,"May","Winter",0,2823.774194,-2210.177419,-0.673299558758091,-0.560983709765431,-0.446333691620157
